N,종목명,현재가,전일비,등락률,액면가,거래량,시가,고가,저가,외국인비율
689.0,디와이,5720.0,50.0,+0.88%,500.0,49345.0,5760.0,5810.0,5720.0,5.49
690.0,성창기업지주,2145.0,10.0,-0.46%,500.0,119583.0,2155.0,2180.0,2140.0,2.55
691.0,디아이씨,3835.0,35.0,-0.90%,500.0,189386.0,3850.0,3970.0,3780.0,1.88
692.0,한솔홀딩스,3490.0,0.0,0.00%,1000.0,17890.0,3490.0,3505.0,3475.0,13.06
693.0,STX,5120.0,140.0,-2.66%,2500.0,339672.0,5280.0,5280.0,5080.0,0.37
694.0,한국화장품제조,32300.0,250.0,+0.78%,500.0,70688.0,32700.0,32900.0,32050.0,1.31
695.0,SNT에너지,19410.0,20.0,-0.10%,500.0,23731.0,19550.0,19720.0,19330.0,1.9
696.0,종근당바이오,26400.0,2250.0,+9.32%,2500.0,659412.0,25250.0,31200.0,25250.0,1.49
697.0,TIGER 200선물인버스2X,3080.0,10.0,-0.32%,0.0,3800423.0,3045.0,3105.0,3045.0,1.81
698.0,디아이,5060.0,0.0,0.00%,500.0,41025.0,5060.0,5100.0,5000.0,7.35
699.0,팜스코,3885.0,40.0,+1.04%,500.0,28761.0,3865.0,3895.0,3830.0,1.27
700.0,샘표,49600.0,250.0,-0.50%,1000.0,5876.0,50000.0,50300.0,49550.0,3.58
701.0,미원화학,64600.0,0.0,0.00%,1000.0,24.0,64600.0,64600.0,64500.0,4.62
702.0,KODEX 미국달러선물,11695.0,125.0,-1.06%,0.0,320230.0,11805.0,11805.0,11695.0,0.18
703.0,강남제비스코,21750.0,100.0,+0.46%,1000.0,4233.0,21650.0,21800.0,21600.0,9.4
704.0,신흥,14760.0,80.0,-0.54%,500.0,13103.0,14830.0,15040.0,14600.0,0.11
705.0,센트랄모텍,16260.0,220.0,-1.33%,500.0,107886.0,16400.0,16500.0,16160.0,0.66
706.0,디와이파워,12630.0,50.0,-0.39%,500.0,64483.0,12680.0,12810.0,12400.0,4.51
707.0,TIGER 미국MSCI리츠(합성 H),12435.0,205.0,+1.68%,0.0,50394.0,12430.0,12440.0,12355.0,0.0
708.0,샘표식품,30350.0,0.0,0.00%,500.0,9065.0,30400.0,30800.0,30250.0,4.4
709.0,한국공항,43450.0,550.0,-1.25%,5000.0,3074.0,44000.0,44150.0,43450.0,4.23
710.0,사조동아원,971.0,43.0,+4.63%,500.0,1847125.0,930.0,976.0,927.0,1.38
711.0,한국석유,10770.0,100.0,-0.92%,500.0,50649.0,10930.0,10930.0,10710.0,1.26
712.0,한국수출포장,34000.0,1350.0,-3.82%,5000.0,107116.0,37000.0,38000.0,34000.0,4.4
713.0,경동도시가스,23050.0,300.0,-1.28%,2500.0,25221.0,23300.0,23400.0,22750.0,16.91
714.0,노루홀딩스,10200.0,70.0,+0.69%,500.0,10366.0,10130.0,10240.0,10070.0,4.19
715.0,KCTC,4500.0,15.0,-0.33%,500.0,57890.0,4515.0,4570.0,4500.0,2.36
716.0,광전자,2325.0,0.0,0.00%,500.0,25057.0,2365.0,2365.0,2305.0,20.14
717.0,한국화장품,8380.0,50.0,+0.60%,500.0,81675.0,8420.0,8530.0,8340.0,0.69
718.0,TIGER 투자등급회사채액티브,102045.0,235.0,+0.23%,0.0,561.0,101870.0,102060.0,101775.0,0.0
719.0,TIGER 중국소비테마,7420.0,0.0,0.00%,0.0,38699.0,7500.0,7500.0,7340.0,0.0
720.0,조흥,224000.0,2000.0,+0.90%,5000.0,17.0,223500.0,226000.0,220500.0,0.0
721.0,황금에스티,7860.0,30.0,+0.38%,500.0,179589.0,7840.0,7890.0,7730.0,4.84
722.0,두산퓨얼셀1우,9990.0,90.0,+0.91%,100.0,12924.0,9900.0,10020.0,9400.0,15.33
723.0,TIGER 반도체,26745.0,45.0,+0.17%,0.0,27693.0,26815.0,26910.0,26540.0,0.0
724.0,일성건설,2445.0,20.0,-0.81%,500.0,134175.0,2470.0,2495.0,2410.0,64.35
725.0,HDC현대EP,4140.0,15.0,+0.36%,500.0,20767.0,4130.0,4160.0,4120.0,5.19
726.0,웅진,1642.0,4.0,+0.24%,500.0,435608.0,1632.0,1661.0,1629.0,1.59
727.0,TIGER 헬스케어,25685.0,600.0,+2.39%,0.0,51002.0,25090.0,25940.0,25090.0,0.11
728.0,KODEX 미국채울트라30년선물(H),8580.0,10.0,-0.12%,0.0,950724.0,8580.0,8580.0,8530.0,0.17
729.0,인지컨트롤스,8160.0,550.0,+7.23%,500.0,360780.0,7610.0,8160.0,7610.0,4.21
730.0,조선선재,102500.0,200.0,+0.20%,500.0,2957.0,102700.0,103100.0,102000.0,1.45
731.0,TRUE 코스피 양매도 5% OTM ETN,8570.0,0.0,0.00%,0.0,0.0,8570.0,8570.0,8570.0,0.0
732.0,유화증권,2260.0,20.0,+0.89%,1000.0,1813.0,2255.0,2260.0,2240.0,1.36
733.0,TIGER 현대차그룹+펀더멘털,22780.0,5.0,+0.02%,0.0,9465.0,22775.0,22905.0,22600.0,0.14
734.0,TIGER 23-12 국공채액티브,202370.0,10.0,0.00%,0.0,457.0,202000.0,202440.0,202000.0,0.0
735.0,SK이노베이션우,100900.0,100.0,-0.10%,5000.0,3849.0,100900.0,102300.0,99800.0,17.95
736.0,극동유화,3610.0,5.0,+0.14%,500.0,26707.0,3620.0,3620.0,3595.0,1.78
737.0,동방,2600.0,10.0,+0.39%,1000.0,231185.0,2580.0,2640.0,2575.0,1.62
738.0,한국특강,2045.0,5.0,-0.24%,500.0,91212.0,2050.0,2080.0,2025.0,0.13
739.0,미래에셋 코스피 양매도 5% OTM ETN,8260.0,0.0,0.00%,0.0,0.0,8260.0,8260.0,8260.0,0.0
740.0,KB 블룸버그 인버스2X 천연가스선물 ETN(H),49540.0,160.0,-0.32%,0.0,1127.0,50380.0,50380.0,49000.0,0.0
741.0,동양철관,1041.0,7.0,-0.67%,500.0,189357.0,1048.0,1055.0,1039.0,2.27
742.0,미창석유,71100.0,0.0,0.00%,5000.0,656.0,70900.0,71400.0,70800.0,31.95
743.0,신한 블룸버그 -2X 천연가스 선물 ETN(H),49265.0,145.0,-0.29%,0.0,1098.0,50095.0,50185.0,49100.0,0.0
744.0,미래에셋 S&P -2X 천연가스 선물 ETN(H),49160.0,60.0,+0.12%,0.0,1015.0,49360.0,49925.0,49050.0,0.0
745.0,와이투솔루션,770.0,44.0,+6.06%,500.0,3913213.0,737.0,770.0,725.0,0.99
746.0,TIGER 코스닥150,11935.0,355.0,+3.07%,0.0,112308.0,11700.0,11950.0,11700.0,0.57
747.0,CJ씨푸드,3375.0,25.0,-0.74%,500.0,165755.0,3385.0,3475.0,3375.0,1.7
748.0,한국내화,2950.0,25.0,+0.85%,500.0,28036.0,2925.0,2955.0,2910.0,0.21
749.0,유니온머티리얼,2875.0,50.0,-1.71%,500.0,945254.0,2900.0,2920.0,2865.0,0.24
750.0,KBSTAR 코스닥150,11555.0,315.0,+2.80%,0.0,121997.0,11300.0,11570.0,11300.0,0.59
751.0,인천도시가스,27200.0,100.0,+0.37%,5000.0,2625.0,27300.0,27300.0,26750.0,2.73
752.0,대창,1305.0,7.0,-0.53%,500.0,154791.0,1301.0,1318.0,1297.0,2.39
753.0,대신증권2우B,11890.0,80.0,+0.68%,5000.0,5771.0,11840.0,11970.0,11790.0,1.99
754.0,ARIRANG 국고채30년액티브,93005.0,970.0,+1.05%,0.0,67.0,91400.0,93005.0,91200.0,0.0
755.0,KODEX 배당가치,11950.0,80.0,-0.67%,0.0,844.0,12020.0,12020.0,11930.0,0.0
756.0,TIGER 미디어컨텐츠,7615.0,75.0,+0.99%,0.0,83393.0,7540.0,7615.0,7490.0,0.1
757.0,세이브존I&C,2870.0,30.0,+1.06%,1000.0,43190.0,2870.0,2890.0,2830.0,9.16
758.0,TIGER 종합채권(AA-이상)액티브,49105.0,90.0,+0.18%,0.0,232.0,48965.0,49150.0,48890.0,0.0
759.0,KBSTAR 국채선물5년추종인버스,54875.0,145.0,-0.26%,0.0,9.0,55150.0,55155.0,54875.0,0.0
760.0,삼익악기,1282.0,5.0,-0.39%,500.0,82502.0,1290.0,1292.0,1279.0,2.52
761.0,깨끗한나라,3105.0,55.0,+1.80%,1000.0,289759.0,3095.0,3135.0,3010.0,0.92
762.0,삼원강재,2865.0,25.0,+0.88%,500.0,8573.0,2890.0,2890.0,2810.0,0.41
763.0,한양증권,8980.0,30.0,-0.33%,5000.0,36888.0,9010.0,9080.0,8980.0,6.85
764.0,이지스레지던스리츠,4030.0,0.0,0.00%,1000.0,17219.0,3980.0,4090.0,3980.0,0.46
765.0,CJ우,50500.0,200.0,+0.40%,5000.0,682.0,50300.0,50500.0,50100.0,7.31
766.0,토니모리,4745.0,225.0,+4.98%,200.0,328672.0,4645.0,4805.0,4540.0,1.36
767.0,크라운제과,9040.0,120.0,+1.35%,200.0,27400.0,8920.0,9060.0,8920.0,3.03
768.0,삼일제약,8240.0,390.0,+4.97%,500.0,177535.0,7840.0,8250.0,7800.0,3.56
769.0,모나리자,3090.0,115.0,+3.87%,500.0,238085.0,2985.0,3090.0,2975.0,1.12
